"","t-statistic","p-value","p-adj"
"210163_at",1.82179902753386,0.0717152998581356,0.0858452885713883
"203820_s_at",1.81767894903187,0.0721278540560946,0.0862716754374069
"215101_s_at",1.81296619907484,0.0729060894782383,0.0871344441773481
"232676_x_at",1.79060207023188,0.0760764441525769,0.0908526021822116
"216541_x_at",1.78410758564711,0.0777510468811924,0.0927800878995366
"225660_at",-1.77184807553223,0.0787400773030993,0.0938871170958295
"204885_s_at",1.76314653595835,0.0808251864897065,0.0962983350317047
"219962_at",-1.75972477485268,0.0810535804265996,0.0964953589682147
"1555731_a_at",-1.75719074988102,0.0827007315131203,0.0983798134783118
"218963_s_at",1.7487215807588,0.083691645412018,0.0994812959051239
"203819_s_at",1.74532081072952,0.0840060377727223,0.0997775359426205
"209631_s_at",-1.72802229593513,0.0865250841628188,0.102689847948276
"205044_at",-1.72357755098068,0.0880180112482683,0.10421931571624
"206515_at",1.72229030359993,0.0880008564450392,0.10421931571624
"211149_at",-1.72090731231266,0.0879553853895518,0.10421931571624
"1569040_s_at",1.72362936933354,0.0881076785907238,0.10424486547326
"223642_at",-1.69553408593192,0.0925499407479369,0.109416184776132
"213110_s_at",-1.69015202559281,0.0938203844775917,0.110832568391353
"203698_s_at",-1.68101310059461,0.0952133729318995,0.112391421710669
"219529_at",1.68286215529878,0.0959180031146598,0.113135949744641
"203913_s_at",1.67221482234667,0.0974845001474592,0.114895126809669
"215033_at",1.67112537686194,0.0979569842592404,0.115363186846844
"206104_at",-1.66176396486712,0.0990966677949724,0.116615679011609
"206755_at",-1.66255001697519,0.0994549693335619,0.116947433217883
"210143_at",1.63969548780525,0.105783552484429,0.124293644553846
"227474_at",-1.6253811027067,0.106702397875914,0.125277125113515
"216992_s_at",-1.62602759525545,0.106857979150981,0.125363652168699
"226913_s_at",1.62689845633625,0.107209241111569,0.125679439618539
"228262_at",1.62339045421745,0.108073835459504,0.126596053625479
"220110_s_at",-1.61758918309856,0.108682581145211,0.127211797961252
"230135_at",1.61097897781777,0.110174602019485,0.128859675853194
"230650_at",-1.59961905864364,0.112450224491369,0.131420834882661
"244612_at",-1.5954850188929,0.113346352725076,0.13236709841502
"222771_s_at",1.58935925488026,0.114924720143615,0.134108038521245
"231484_at",-1.57250229752542,0.118362501966866,0.138014463451083
"209735_at",1.57009036314597,0.119358185644534,0.139069545069849
"206204_at",1.56444903666553,0.120964557696507,0.140834021166047
"240865_at",-1.5484290053413,0.123966840543999,0.144219781818284
