"","t-statistic","p-value","p-adj"
"221751_at",-4.68201023034983,8.68557498286685e-06,2.87091533890315e-05
"1563900_at",-4.64326750999707,8.69926719503877e-06,2.87502621310206e-05
"242714_at",4.80236625732266,8.7258538011552e-06,2.88339676248532e-05
"202693_s_at",4.65824323886274,8.7756167384362e-06,2.89929835671277e-05
"208967_s_at",-4.70300028893265,8.77650766584712e-06,2.89929835671277e-05
"213550_s_at",-4.65553568926171,8.78773703062086e-06,2.90258928774603e-05
"235437_at",-4.67169731354534,8.84968435183414e-06,2.9226289936562e-05
"227865_at",-4.65163490145972,8.86289869594021e-06,2.92657106160782e-05
"229868_s_at",-4.64816810592904,8.87203418369479e-06,2.92916532952518e-05
"228427_at",-4.6920262567663,8.87509577381012e-06,2.92975379803363e-05
"213218_at",4.66503050126154,8.90881665696044e-06,2.94046156354467e-05
"60474_at",-4.74452088511626,8.92088133311301e-06,2.94401938288599e-05
"237459_at",4.70877139021476,8.9303950177403e-06,2.94673443439427e-05
"227987_at",-4.66533305993086,8.93456952322874e-06,2.94768720527957e-05
"227951_s_at",-4.65714358688329,8.94573421287343e-06,2.95094556643296e-05
"206286_s_at",-4.78202660029169,8.97717075893552e-06,2.96088914014833e-05
"229826_at",-4.67738968554039,8.99629428918596e-06,2.966769303171e-05
"215712_s_at",-4.62772298550737,9.02335992191079e-06,2.97526651729805e-05
"231918_s_at",-4.64827472098346,9.03465037101294e-06,2.97856049297984e-05
"208209_s_at",-4.69119248486479,9.03879602752909e-06,2.97949835087073e-05
"219014_at",-4.70248828076619,9.067065675224e-06,2.98838689249756e-05
"213237_at",-4.68727446563316,9.1019693950443e-06,2.99945906553525e-05
"205792_at",4.88151431625994,9.10481365210672e-06,2.99996471118113e-05
"222391_at",4.63320343204638,9.13669123415947e-06,3.01003508826171e-05
"213596_at",4.76564829660837,9.13983074206154e-06,3.01063632224127e-05
"220603_s_at",-4.67309223640172,9.14326613782682e-06,3.01133483397538e-05
"203677_s_at",-4.65768855301075,9.20289357270605e-06,3.03053733279204e-05
"1559942_at",4.77930233316199,9.21441636122126e-06,3.03389559978509e-05
"218342_s_at",-4.70037817228938,9.21755241980219e-06,3.03449192282204e-05
"209752_at",-4.67397289555732,9.33076523687955e-06,3.07132101495045e-05
"216511_s_at",-4.66384999747071,9.33331529328719e-06,3.07171892746309e-05
"1569532_a_at",-4.63032970928229,9.3737547934701e-06,3.08458485682249e-05
"223304_at",-4.65650069090267,9.38841749052255e-06,3.08896603627982e-05
"1565786_x_at",-4.61612957429815,9.42288269876339e-06,3.09941522978282e-05
"233388_at",-4.66116239084578,9.42267328754268e-06,3.09941522978282e-05
"209204_at",4.64642980398645,9.47454160273063e-06,3.11595959688885e-05
"211370_s_at",-4.6109008264985,9.48271067143612e-06,3.118198456682e-05
"219411_at",-4.70311929313339,9.49668201979632e-06,3.12234436260975e-05
"37966_at",4.62819082621074,9.51106354674966e-06,3.12662391863367e-05
"227062_at",4.63712415424574,9.59079242156772e-06,3.15238115429342e-05
"207992_s_at",4.6652162526814,9.60920294051903e-06,3.15797926455313e-05
"209600_s_at",-4.64203591175315,9.75342900100096e-06,3.20491799727295e-05
"226158_at",4.60084240729183,9.78805960607173e-06,3.21583602292154e-05
"206577_at",4.75881292206247,9.79352626796688e-06,3.21717056963921e-05
"202070_s_at",-4.64238761798451,9.80540764016594e-06,3.22061166187754e-05
"212451_at",4.68394304738616,9.80897632823383e-06,3.22124892903893e-05
"219736_at",-4.67523432016112,9.81156727458218e-06,3.22124892903893e-05
"223268_at",-4.63497608758115,9.81025210343276e-06,3.22124892903893e-05
"1555894_s_at",4.71299306163655,9.82352641804649e-06,3.22471299344301e-05
"228818_at",-4.61019017620025,9.82638708714117e-06,3.22518978871875e-05
"1557551_at",4.76905658838621,9.83855425280584e-06,3.22872056243032e-05
"207245_at",-4.60638473723911,9.84261177037428e-06,3.22958936070032e-05
"211843_x_at",-4.62754638269054,9.85064847007229e-06,3.23176338504606e-05
"1553030_a_at",-4.62454810049645,9.90063270164301e-06,3.24769680271742e-05
"1560754_at",4.6815815102741,9.90694545360536e-06,3.24930218708182e-05
"204731_at",4.63075008864676,9.94937371842058e-06,3.26275066255708e-05
"204321_at",-4.60906736263522,9.95107221365236e-06,3.26284047114216e-05
"219693_at",4.63220615813088,9.95663089298047e-06,3.26419578216335e-05
"209176_at",-4.61072371556899,9.95924643125474e-06,3.2645859598544e-05
"204603_at",-4.62478786507035,9.98171877165453e-06,3.27148404446485e-05
