"ID","statistic","p_value","p_adjust"
"1558738_at",2.05047394657763,0.0423675111547496,0.0674893766183133
"202028_s_at",2.05024700665084,0.0423960559767864,0.0675301434871921
"231899_at",2.0502488655177,0.0424296596767805,0.0675789621009799
"225671_at",2.04956002655004,0.0425368409725745,0.0677449549472688
"226726_at",2.04975239321285,0.0425694003717974,0.067792088747511
"225086_at",2.04769942977806,0.0426539247809115,0.0679219648892527
"218747_s_at",2.04789730542937,0.0426933005904715,0.0679799334751851
"219549_s_at",-2.04656286514839,0.0427515136543712,0.0680678861929456
"209123_at",2.04714507990154,0.0427612421068584,0.0680786360587436
"229315_at",-2.05004240015465,0.0427644480662994,0.0680790009241449
"59375_at",2.04747423236339,0.0428179819315202,0.0681594798339157
"205198_s_at",-2.04558545296315,0.0428491078977209,0.0681995335528482
"213116_at",2.05061435147481,0.0428490116086331,0.0681995335528482
"1558816_at",2.04842335075183,0.0428561723388347,0.068206030716016
"217148_x_at",-2.04640488001273,0.0428604173359666,0.0682080401136703
"1552673_at",2.04550277004173,0.0428703718214301,0.0682191346754876
"222580_at",2.04527263691067,0.0429053136766558,0.0682699870441188
"213520_at",2.0472495972728,0.0429245048893346,0.0682957720063366
"1569362_at",-2.04924923140047,0.0429336974015116,0.0683056458833092
"204899_s_at",2.04473547161888,0.0429709663036076,0.0683601835951242
"208499_s_at",-2.04551913431506,0.0430230334768551,0.0684382538509896
"236809_at",-2.04410402685987,0.0430490085448261,0.068474810503559
"221761_at",2.0454938362555,0.0431071953509366,0.0685625952900703
"223514_at",-2.04381336985058,0.0431281819243368,0.0685912044930169
"238622_at",-2.04498438550275,0.0431387330894083,0.0686032143630323
"205250_s_at",2.04284304906931,0.043274922610376,0.068813522097591
"222806_s_at",-2.04399342140127,0.0432769955544229,0.068813522097591
"212666_at",-2.04315004236161,0.0433001566338117,0.0688455632797047
"218344_s_at",-2.04128346597623,0.0433466074292622,0.0689146271746421
"222320_at",-2.04437713804738,0.0433596604971892,0.0689305877638479
"209510_at",-2.04033001276965,0.0434120138813315,0.069009019077365
"206478_at",-2.04446270553028,0.0434289008145486,0.0690310648894028
"220153_at",2.04039915999091,0.0434372341254689,0.0690391799020835
"223413_s_at",2.04251554873702,0.0434400436725396,0.0690391799020835
"1554037_a_at",2.03953996920001,0.0434577714923157,0.0690625553491252
"208947_s_at",2.04229530473541,0.0434952917283542,0.0691132765909569
"226277_at",-2.0391863893657,0.0434957319621181,0.0691132765909569
"204258_at",2.03901169675038,0.0435217871770614,0.0691498730540083
"209377_s_at",2.03922266196371,0.043543184774691,0.069174259224589
"229360_at",2.03963117831019,0.0435414784946523,0.069174259224589
"229975_at",-2.03855212191199,0.0435556939042462,0.0691893255254644
"212720_at",2.04093931961599,0.043601581732407,0.0692574089609772
"220079_s_at",-2.03957271416468,0.0436304490701477,0.0692984492141315
"216022_at",-2.0403521224729,0.0436368809568555,0.0692990394752646
"242440_at",-2.04062738117546,0.0436354865963646,0.0692990394752646
"214241_at",-2.04247762348703,0.0437507721905698,0.0694750840159929
"202275_at",-2.0373100099947,0.0438023167255049,0.069552106055148
"1558329_at",2.0366802526494,0.0438071743067694,0.0695549900302566
"241455_at",2.03959932692076,0.0438250959451567,0.0695786146661391
"223016_x_at",2.03697905683966,0.0438799542365188,0.0696608741766754
"225123_at",-2.03567742297368,0.0439524061204616,0.0697710507374858
"229406_at",-2.04571231030188,0.0439740520108398,0.0698005670105431
"216913_s_at",2.03756632468562,0.0439959419009104,0.0698304664635868
"221434_s_at",2.03616333548688,0.0440060571745788,0.069841674363818
"233369_at",-2.03429410525803,0.0440108826356555,0.069844485870338
"227224_at",2.03622984010107,0.0440149466813952,0.0698460887179786
"220007_at",2.03804015430021,0.0440221514638388,0.0698526749447022
"211081_s_at",-2.03497437766361,0.0440745284367657,0.0699309327978932
"217164_at",-2.03524715000623,0.0440922689034736,0.0699542275284386
"201631_s_at",2.03366093418927,0.0441277803453502,0.0700038728233974
"206669_at",2.03619848830798,0.0441327432605047,0.0700038728233974
"211528_x_at",-2.03291696161394,0.0441315586331841,0.0700038728233974
"222158_s_at",-2.03331694981257,0.0441377154730517,0.0700069042838402
"227531_at",2.03292875583248,0.0441607813836172,0.0700386317783165
"230085_at",-2.03298876753558,0.0441765205007943,0.0700587354450569
"217236_x_at",-2.03730260547765,0.0442874136465172,0.0702297288930695
"211122_s_at",-2.03277551102893,0.0442992681708321,0.0702436568721438
"201057_s_at",2.03149484504724,0.0443199651116754,0.0702641604718387
"212677_s_at",-2.0313347882842,0.044317033437343,0.0702641604718387
"239012_at",-2.03353397575312,0.0443214157834169,0.0702641604718387
"209194_at",-2.03058361280195,0.0443692604969036,0.0703351346478259
"210538_s_at",-2.03066739833291,0.0443854756859915,0.0703559626378309
"235648_at",-2.03035678127398,0.0443972062154367,0.0703696795444617
"222073_at",-2.0330216788111,0.0444368076228564,0.0704275668977634
"217418_x_at",-2.03417902094612,0.0444938343235967,0.0705130615328569
"221943_x_at",2.02944179749953,0.0445025529551346,0.0705219918295406
"225856_at",2.03008393076205,0.0445306173197049,0.0705611971145611
"240172_at",-2.02943245414198,0.0445334638894436,0.0705611971145611
"226866_at",2.03038726381646,0.0445398938898631,0.0705664962425473
"225998_at",2.03050377799221,0.0445733503458056,0.0706146108623284
"202777_at",-2.02855696124761,0.0445791150454791,0.0706188516374667
"232520_s_at",-2.03062895985544,0.0446361518340352,0.0707043075525963
"211849_s_at",2.02792310925375,0.0446474169657851,0.0707172536884483
"229695_at",-2.02944744028943,0.0446620642981873,0.0707355547437357
"213282_at",2.03104945308042,0.0446888039505567,0.0707730036942893
"202293_at",-2.02702749980691,0.0447432217593636,0.0708542779141841
"211098_x_at",2.02738641675426,0.0447562797898991,0.0708700490753301
"241489_at",-2.02848114723146,0.0447786330873062,0.0709005357731026
"240574_at",2.02709244333995,0.0447843389404652,0.0709046612369982
"204835_at",2.02812530162501,0.0448457572076983,0.0709969865249938
"1555797_a_at",-2.02973231298659,0.0448570339189765,0.0710090285129947
"231107_at",-2.03013341376906,0.0448595734130191,0.0710090285129947
"1555785_a_at",-2.02976940869759,0.0449060571904714,0.0710776889712838
"231829_at",2.02654050222795,0.0449124517439699,0.0710828907532589
"216246_at",2.02597497431404,0.0449296459908721,0.0711051832960518
"228992_at",2.02503733606101,0.0449494189302011,0.0711315534828189
"209719_x_at",2.02396641999271,0.0450646934938113,0.0713090389679281
"38918_at",-2.02770923721065,0.0450743507397834,0.0713193857353568
"232482_at",-2.03013674085779,0.0451157792587375,0.071379998038556
"1553153_at",-2.02770124764132,0.0451234093452107,0.0713871314142895
"221122_at",2.02355524680247,0.0452082269667293,0.0715163692833298
"220494_s_at",-2.02418553686426,0.0452187508993434,0.0715280697930546
"242134_at",-2.02361160626351,0.045226844692688,0.0715359248994934
"205084_at",-2.0223012972437,0.0452555749901119,0.0715764177056611
"206098_at",2.0217684175849,0.0452850270567336,0.0716180463859689
"213005_s_at",2.02781599277713,0.0452936555484856,0.0716267392057714
"208800_at",2.02236620937091,0.0452984408257504,0.0716293536392804
"230398_at",2.02362955914043,0.0453356430288882,0.0716832242858595
"236472_at",-2.0225943146749,0.0453407379176617,0.0716863239666037
"205822_s_at",2.02186497447881,0.0453615560406737,0.0717142808412973
"227212_s_at",2.02520369205845,0.0453740490001251,0.0717290731065778
"214240_at",-2.02091129117386,0.0453977464022868,0.0717615745244884
