"","Term","Odds_ratio","p.value","p_adj"
"641","GO_URONIC_ACID_METABOLIC_PROCESS","7.33614111398721","4.75230926906148e-05",0.00336627368982969
"6282","GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT","1.86534221114906","4.75020058089591e-05",0.00336627368982969
"1899","GO_GENE_SILENCING","0.162705202198849","4.78913771954382e-05",0.00336912558338593
"9793","GO_HISTONE_BINDING","0.122729066618812","4.89345643236129e-05",0.00341909462699203
"4021","GO_NEGATIVE_REGULATION_OF_CELL_VOLUME","Inf","5.65078974435244e-05",0.00389525244726469
"9024","GO_PRIMARY_AMINE_OXIDASE_ACTIVITY","Inf","5.65078974435244e-05",0.00389525244726469
"10177","GO_ION_CHANNEL_REGULATOR_ACTIVITY","4.13369153476461","6.04616627837074e-05",0.00414001158967639
"1579","GO_NEGATIVE_REGULATION_OF_SODIUM_ION_TRANSPORT","8.47087597374854","6.22840258437332e-05",0.00418762504024632
"2533","GO_TELOMERE_ORGANIZATION","0.0742093392018794","6.23801607591946e-05",0.00418762504024632
"3956","GO_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION","0.0742093392018794","6.23801607591946e-05",0.00418762504024632
"3732","GO_NEGATIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS","15.8559731612343","6.52764322051729e-05",0.00432551119470536
"9215","GO_ANION_CATION_SYMPORTER_ACTIVITY","15.8559731612343","6.52764322051729e-05",0.00432551119470536
"6583","GO_CARBOHYDRATE_DERIVATIVE_TRANSPORT","3.30515599356441","6.61058064152284e-05",0.00435238934417186
"4261","GO_SECRETION","1.56524363785996","6.68063410108054e-05",0.00437049636001263
"3798","GO_SYMBIOTIC_PROCESS","0.496323257957267","7.06670050510529e-05",0.00459380258784408
"5976","GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION","4.71820719039686","7.36968813235933e-05",0.00476063313254482
"6279","GO_CATION_TRANSMEMBRANE_TRANSPORT","1.81779855486463","7.50726700652364e-05",0.00481687777083999
"9111","GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","2.1940639375614","7.5505532188223e-05",0.00481687777083999
"2942","GO_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS","0.370603763750654","7.72634099443258e-05",0.00489859557739611
"9262","GO_CHANNEL_REGULATOR_ACTIVITY","3.54610231487762","8.33065389083462e-05",0.00524933411734739
"7742","GO_GOLGI_STACK","2.72651655223681","8.44420055831505e-05",0.00528843804478377
"146","GO_MESODERMAL_CELL_FATE_COMMITMENT","26.3908208271468","8.84119598930381e-05",0.00530451198717551
"3708","GO_AMIDE_BIOSYNTHETIC_PROCESS","0.522293518808402","8.81352852468072e-05",0.00530451198717551
"4017","GO_NEGATIVE_REGULATION_OF_CELL_CYCLE","0.414790755930298","8.883030491619e-05",0.00530451198717551
"4693","GO_NUCLEAR_EXPORT","0.204082858789306","8.70480983036595e-05",0.00530451198717551
"4712","GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION","0.203062787224982","8.82855341014386e-05",0.00530451198717551
"5131","GO_BRONCHUS_DEVELOPMENT","26.3908208271468","8.84119598930381e-05",0.00530451198717551
"5400","GO_LEUKOCYTE_ADHESION_TO_ARTERIAL_ENDOTHELIAL_CELL","26.3908208271468","8.84119598930381e-05",0.00530451198717551
"5676","GO_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS","0.204082858789306","8.70480983036595e-05",0.00530451198717551
"758","GO_TRANSLATIONAL_INITIATION","0.0769948850614279","9.19983862996311e-05",0.00543054842346845
"2392","GO_RNA_3_END_PROCESSING","0.0769948850614279","9.19983862996311e-05",0.00543054842346845
"7698","GO_SPLICEOSOMAL_COMPLEX","0.0758562679670201","9.41153630667138e-05",0.0055237651089041
"1183","GO_TRNA_PROCESSING","0","9.69785942778057e-05",0.0056274460968802
